Work Type	Volunteering Opportunity: Ref	No. of Volunteers Required	Organisation: Organisation Name	Client Group	Title	Full Description	Organisation: Aims And Objectives	Experience Required	Minimum Age	Monday Morning	Monday Afternoon	Monday Evening	Tuesday Morning	Tuesday Afternoon	Tuesday Evening	Wednesday Morning	Wednesday Afternoon	Wednesday Evening	Thursday Morning	Thursday Afternoon	Thursday Evening	Friday Morning	Friday Afternoon	Friday Evening	Saturday Morning	Saturday Afternoon	Saturday Evening	Sunday Morning	Sunday Afternoon	Sunday Evening	Travel Expenses	Travel Details	Organisation Contact	Organisation: Phone	Organisation: Email
Advice / Information giving	VO58175	3	Shelter Scotland (Dundee)	Homeless / Housing	Digital Pop Up Assistant	"There are still many people who have never used a computer or who have no access to the internet. People may have barriers due to their level of literacy or numeracy. English may not be their first language. Digital inclusion is vital as more and more services are now accessed on line and an increasing numbers of jobs now require these skills. Your role will be to be support people visiting the Shelter Pop Up hub who have housing issues. You will help them get online and to access and navigate the internet so they can apply for housing, access benefits or find out about services in their community."	"We provide a range of services to the public, agencies and target groups, offering free, expert and confidential advice and advocacy on a wide range of housing issues, e.g. homelessness, rent and mortgage arrears, evictions, repairs, landlords/tenants disputes, housing benefit. We also engage in local policy and practice work, seeking to influence change within local authorities and housing providers."	"Customer facing experience, effective communication skills, patience, confident in using internet, Word and Excel and a willingness to follow organisation policies, including volunteering, health and safety, equality and diversity and confidentiality."	18	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Reimburse ?out of pocket? expenses in line with Shelter?s volunteer expenses policy		Graham Smith	03445 152535	volunteerscotland@shelter.org.uk
Advice / Information giving	VO58590	10	Victim Support Scotland (Dundee)	Crime / Safety	Service Delivery Volunteer	"Our volunteers work within a supported environment to provide victims and those affected by crime with non-judgemental, practical and emotional support. Volunteers offer a sympathetic ear by telephone, at our office, at the service user?s home and within the court setting. Our existing volunteers come with a wide range of skills and experience and we are looking to add to this skill base. We are looking for flexible adaptable and non-judgemental individuals who are looking to add to, and use, their existing skills and experience to support people of all ages and backgrounds. APPLY ONLINE at http://www.victimsupportsco.org.uk/page/volunteering.cfm."	"The Witness Service exists to help people through the judicial process by providing practical and emotional support. This facility is set up in the court building and is confidential, and provided by trained volunteers. The service is free and available to ALL witnesses attending court regardless of age, sex, religion, sexual orientation, disability or social class."	A listening non- judgemental ear is all that is required. Full training and a shadowing period will be afforded to all volunteers. We welcome applications from individuals of all different backgrounds and experience.	18	1	1	0	1	1	1	1	1	1	1	1	0	1	1	0	0	0	0	0	0	0	Public transport or a mileage rate is reimbursed. Lunch for volunteers who work over 4 hours is also reimbursed. Expenses are paid monthly.	The office is in Dundee City Centre and is serviced by many bus routes.	Ciara White	01382 202265	witnessservice.dundee@victimsupportsco.org.uk
Advice / Information giving	VO58621		"Diversitay Lesbian, Gay, Bisexual, Transgender Group"	Gender / Sexuality	Helpline Counsellors and Administration Assistant [copy]	"Volunteers would play a major role in bringing LGBT issues to top of the agenda when changes are being discussed within Tayside Community. They would help raise awareness and help the wider community gain a greater understanding and tolerance of Lesbian, Gay, Bi-sexual, Transgender people. Diversitay would gain from new ideas, insight and energy that new volunteers bring to any organisation."	"To preserve, protect and raise awareness of the good health (both mental & physical) of people who identify as lesbian, gay, bisexual or transgender, or anyone affected by such issues."	No experience necessary as full training would be given.		0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0			Joyce Duncan	01382 202620	contact@diversitay.org.uk
Advice / Information giving	VO58878	10	Tayside Council on Alcohol (Dundee)	Drugs / Alcohol Issues	Safe Zone Volunteer	"The Safe Zone Bus is resourced with a minimum of 4 volunteers on any operational evening, 2 from TCA/CAIR and 2 from British Red Cross. A further 2 personnel will resource the mini bus along with an officer from Police Scotland. Dundee Street Chaplains will utilize the Safe Zone where they are able to bring those identified as vulnerable to a place of safety. All visitors to the service are assessed and have any minor injuries dealt with. The Safe Zone volunteers identify the needs of the visitor and support them to sober up and help them to find a safe route home. Safe Zone volunteers will also support people who have become separated from their friends and have come down to the vicinity of the bus where they arrange to meet up again. People can use the area as place of safety while they wait for their friends. People will also come along to the bus on their own if they are feeling fearful or vulnerable. This gives the Safe Zone volunteers the opportunity to engage with people around the bus, provide information about alcohol, its effects and a link to services. We can also provide a place of safety in the city and assist in reducing the number of sexual assaults."	"Tayside Council on Alcohol provides counselling, support and information to anyone affected by their own, or anothers, problem drinking. We also work in many ways to raise awareness of alcohol related issues and promote sensible and positive use of alcohol. The young persons services provide a wide range of support and treatment facilities for young people experiencing problems because of their substance use."	"Experience of working with individuals, who have challenging behavior *Experience of working as part of a team *Good Communication Skills, both verbal and non verbal. *Experience of working with individuals, with alcohol/substance misuse."	18	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	Mileage from your house to base and back home again will be paid for volunteers.		Lydia Banks	01382 456012	enquiries@alcoholtayside.com
Advice / Information giving	VO59235	15	Dundee Museum of Transport	Museums / galleries / heritage	Visitor Services Assistant	"With the summer season approaching we need to significantly increase the number of volunteers willing to look after museum visitors. Visitor Service Assistants are the face of our small, recently-opened, volunteer-run museum. You will join a team like-minded volunteers and work under the guidance of the shift leader. Tasks include - Meeting and greeting, ticketing, selling items in the shop, serving refreshments, answering queries, looking after visiting groups, controlling access to the museum, providing information about exhibits and keeping the museum clean and tidy. You will not have to take on all these tasks - we will try to match you with the ones you enjoy the most. We are a small and flexible group of volunteers with big challenges ahead. As we evolve, you may find opportunities to be involved in other aspects of the museum."	"Preservation and collection of historical and vintage vehicles to advance and promote heritage and education of the general public. To provide training in vehicle restoration, and organise meetings and lectures on a wide range of transport and vehicle subjects."	"No specific skills required, just an outgoing and friendly nature. An interest in museums or transport would be helpful but by no means essential."	14	1	1	0	1	1	0	1	1	0	1	1	0	1	1	0	1	1	0	1	1	0	No travel expenses paid.	"Dundee Museum of Transport, 10 Market Mews, Dundee, DD1 3LA. Bus route near by."	Andy Pillans	01382 455196	chairman@dmoft.co.uk
Advice / Information giving	VO61209	0	DIAL-OP (Volunteer Centre Dundee)	Elderly	Helpline Volunteer	"DIAL -OP, the telephone helpline for older people in Dundee, is looking for volunteers to be a listening ear for older people who are in need of some support or just looking for information. Training will be given to deal with enquiries, which range from home energy, benefits, befriending, physical and social activities, to mention just a few. As a volunteer you will be able to provide older people with the information they are looking for or signpost them to other local services that can better support them, as well as taking part in outreach and awareness raising activities. DIAL-OP volunteers have helped over 200 people who have contacted the helpline so far, but we wish to support many more in the future. Join us and make of your time a rewarding experience for you and the ones that you will have the opportunity to help! Whether you are looking at ways to give back to your community, build up your confidence, acquire new skills and knowledge or share your existing ones, we would like to hear from you!"	"DIAL-OP is a confidential helpline service available Monday to Friday 10am-1pm that supports older people in accessing the information they require. When we have a particular issue or concern, it?s easy to feel unsure about where to turn to for help. This might even become a major issue of concern as we get older. From DIAL-OP we make sure that older people have access to the information they need, providing them with the answers they are looking for or offering guidance on where to go if they require more in-depth advice. Ultimately, DIAL-OP aims to enable callers to take their own decisions and to maintain as independent lifestyle as possible, increasing their well-being and creating social networks within their community. DIAL-OP also offers a telephone befriending service for vulnerable or isolated older people who would like a friendly chat and listening ear. DIAL-OP is one of the projects of Volunteer Centre Dundee, which believes that everyone in Dundee can contribute towards and benefit from making Dundee a better place to live."	"No experience is needed. Full training will be given. A good telephone manner, an ability to listen and basic admin skills would be an advantage. We will provide you with ongoing support to ensure you enjoy and benefit from your volunteering."	0	1	1	0	1	1	0	1	1	0	1	1	0	1	1	0	0	0	0	0	0	0	Public transport costs will be reimbursed monthly.	"Number Ten, 10 Constitution Road, Dundee, DD1 1LL."	Lali Tudela	01382 305757	dialop@number10.org
Advocacy / Human Rights	VO38347	5	Advocating Together (Dundee) SCIO	Learning Disabilities	Self-Advocacy Assistant	"Self-advocacy Assistants are linked with a group of self-advocates with learning disabilities and/or Autistic Spectrum Disorders. The group work revolves around the needs of the self-advocates and the topics that are most important to them. Issues and topics may be tackled creatively in a variety of ways depending on the group and the unique skills that each volunteer brings. Through discussion and activities self-advocates develop confidence, communication skills, and awareness. Self-advocacy Assistants and self-advocates contribute equally to discussions; learning to respect other peoples' opinions. The groups also take part in social events out in the community, such as dinners, or discos. Fun is at the centre of all of the work we do at Advocating Together. Groups are held at various time of day or evening, some groups are fortnightly, others are monthly. Volunteers have the opportunity to attend peer supervision and training sessions throughout the year to discuss progress or problems, and expand their knowledge and skills."	"We run self-advocacy groups for adults with learning disabilities and / or autistic spectrum disorder with the aim of improving their confidence and communication skills, developing the awareness of their rights and responsibilites, enabling them to take more control over their own lives and to comment more effectively on services provided."	"You must have a positive and non-judgemental attitude towards people with LD and/or ASD. Be able to get on well with people and have excellent listening and communication skills. You must be prepared to work with people on a 1:1 basis, in small groups and at large events in various locations."	18	0	0	1	0	1	0	0	1	1	0	0	0	1	0	0	0	0	0	0	0	0	Travel expenses are paid per session at the price of a Dundee Daysaver ticket.	"Most meetings are held in our own premises on Ryehill Lane, which is close to Perth Road and easily accessible by public transport. You will be required to travel to Advocating Together (Dundee) office or at an agreed venue within City of Dundee."	Victoria Scott	01382 666601	volcord@advocating-together.org.uk
Advocacy / Human Rights	VO38459	10	Dundee Independent Advocacy Support	Human / Civil rights/ Justice	Volunteer Advocate	"Volunteer advocates work with people who, due to illness or disability, find it difficult to speak up and are in danger of being excluded from decision making. These are people who are facing issues or life changes and who have no one independent to support them. The advocate helps them to find information and explore options. It can involve supporting someone at meetings or helping them with phone calls or letters. Involvement is usually, but not necessarily, with one person only and may be for a short or longer time depending on the issue. An alternative role for a volunteer advocate may be in visiting people known to DIAS who are on our waiting list for an advocate."	"We aim to provide independent advocacy to promote, protect and safeguard the welfare and interests of people who are not in a good position to speak for themselves. Our main focus is citizen advocacy, where we create personal relationships between volunteers from the community and people from various community care groups who need such support."	Excellent listening and communication skills. Ability to get on well with people. Able to work with someone on 1:1 basis. Positive about people with disabilities and a non judgemental attitude.	16	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	Public transport rates or 26p per mile. Normally paid monthly but at volunteer's request.	At a venue agreed with person being supported within City of Dundee. Own or public transport expenses reimbursed.	Veronica Harris	01382 205515	office@diasdundee.org
Advocacy / Human Rights	VO38460	0	Dundee Independent Advocacy Support	Human / Civil rights/ Justice	Citizen Advocate	"Can you give support to someone by becoming an independent advocate? Many people in Dundee need a bit of support to speak up for themselves. These are often people with no one to take a personal interest in their lives. They could be people with learning disabilities, physical disabilities or mental health difficulties. Citizen Advocates gives their time and energy to support a vulnerable person on a one to one basis, listening to their point of view, respecting their wishes and helping them to speak up for themselves. We are looking for ordinary people who have the ability to listen and understand, a wish to make a difference, a friendly manner and a liking for people."	"We aim to provide independent advocacy to promote, protect and safeguard the welfare and interests of people who are not in a good position to speak for themselves. Our main focus is citizen advocacy, where we create personal relationships between volunteers from the community and people from various community care groups who need such support."	"Citizen Advocates would need an interest in helping other people. The qualities we look for are; communication skills, assertiveness, ability to work independently, commitment, freedom from prejudice and the ability to bring your own life experiences."	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	Mileage rate is 45p per mile or public transport costs upon receipt of tickets. Normally monthly but more frequently if requested.	Advocacy support is offered in the home of an advocacy partner somewhere in Dundee or Broughty Ferry. Travel expenses will be reimbursed.	Veronica Harris	01382 205515	office@diasdundee.org
Advocacy / Human Rights	VO38874	20	Deaf Links	Sensory Impairment	Advocate	"An advocate provides a voice for those who may feel they are being ignored, excluded or treated unfairly. They provide a confidential service, representing the views and choices of the people they work with, empowering them to represent their own interests, providing information not advice, and allowing the person to be in control of their own life. Volunteer advocates promote the person's independence and increase their confidence."	"Empower deaf people to become equal citizens in the wider community. To support this we run a variety of social enterprise activities including café, room hire, catering, BSL training, communications support and deaf and deafblind awareness training."	We are looking for volunteers with strong empathy and communication skills who has the ability to express someone else's views. A knowledge of different communication methods would be useful but not essential. BSL skills also useful but not essential.	18	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Travel expenses will be reimbursed for public transport or mileage rate of 35p for use of car.	Based at DD1 5EF but required for drop-in venues in the Dundee area.	Tricia Mill	01382 201077	alana@deaflinks.org.uk
Advocacy / Human Rights	VO38902	1	RESULTS UK	Anti poverty work	Campaign Leader	"Do you share our dream of a world free of hunger and extreme poverty? Join us and have your say! At the heart of RESULTS is our network of volunteer advocates who work together in local groups to lobby decision-makers, raise awareness and campaign to make ending poverty a political priority. We are looking for a committed and passionate volunteer to head up a RESULTS group in Dundee. Group leaders play a vital role by helping to organise an introductory event, by inviting people with an interest in development to join the group and by hosting group meetings. You don?t need any special skills to be a great group leader, just the passion and drive to motivate other around you to take action. Keeping up emails and communication is also essential. If you are interested in development issues and would like to lead our Dundee group, please call our UK national office at 020 7499 8238 or email our grassroots team: join@results.org.uk. We look forward to hearing from you!"	International advocacy organisation working to create the public and political will to end hunger and the worst aspects of poverty. Advocates work together in local groups to learn about and share information on development issues and campaigns. RESULTS gives advocates the tools they need to take effective action to speak out in favour of anti-poverty measures that really work.	"No experience is necessary, just an interest in global issues and a passion for campaigning."		0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Expenses are not reimbursed.	"In Dundee or surrounding area, depending on where the team leaders want to hold the monthly meeting."	Felix Jakens	02074 998238	join@results.org.uk
Advocacy / Human Rights	VO55277	0	Advocating Together (Dundee) SCIO	Learning Disabilities	SAY Rep	"Advocating Together (Dundee) SCIO manage the SAY Group which provides Volunteering opportunities to teams of adults with learning disabilities and/or Autistic Spectrum Disorder who work to gain the views/opinions and represent other people with LD/ASD in Dundee. Say reps inform and consult a wide range of adults with LD and/or ASD, find out their views and present their findings in a variety of forums; assist at regular focus group meetings of adults with LD and/or ASD; assist in producing ?the content? of the ?YOUR SAY? newsletter; co-deliver presentations to a wide range of managers, planners and front line workers; attend and participate in relevant meetings and working groups to ensure that adults with LD and/or ASD views are heard and taken into account; are proactive in ensuring that future plans for adults with LD and/or ASD reflect what they want; and raise awareness of issues that affects adults with LD and/or ASD."	"We run self-advocacy groups for adults with learning disabilities and / or autistic spectrum disorder with the aim of improving their confidence and communication skills, developing the awareness of their rights and responsibilites, enabling them to take more control over their own lives and to comment more effectively on services provided."	Communication & interpersonal skills. Genuine interest in people. Patience to listen and give people time.	18	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Travel expenses are paid at £1.50 per journey	"SAY group meetings take place at 13 Ryehill Lane, Dundee. Meetings/presentations/focus groups can take place in a variety of places including nationally."	Victoria Scott	01382 666601	volcord@advocating-together.org.uk
Advocacy / Human Rights	VO55701	0	Council for Assisting Refugee Academics	Refugees / Asylum seekers	Student Ambassador	"We are seeking to establish at least one Student Ambassador in each British university who is able to represent CARA's activities by setting up a society and campaigning on our behalf. We would require the Student Ambassador to promote academic freedom through organising events to debate issues surrounding the topic, organising fundraising and awareness raising events to support CARA grantees and acting as a point of contact for our charity. The Student Ambassador would write an article or two on CARA in their student newspaper. These would also be published on CARA's website and publicised through our social media. The Student Ambassador would be provided with materials with which to set up a stall at a Freshers' Fair and to assemble a society committee which would be in contact with CARA committees at the other 95 CARA/Scholars at Risk UK University Network member universities."	"CARA aims to assist academics who have been, or are, or are at risk of being, subject to discrimination, persecution, suffering or violence on account of race, religion, nationality, membership of a particular social group, or political opinion, to relieve needs among them and their dependants and ensure that their specialist knowledge and abilities can continue to be used for the benefit of the public; To advance education by supporting academics and their educational institutions in countries where their continuing work is at risk or compromised, to ensure that such academics and institutions can continue to fulfil their critical role as educators for the public benefit."	"This role would suit students looking to gain experience in the non-profit sector or government and those with an interest in education as a human right. Good organisational and communication skills are desired, as well as enthusiasm and empathy."	18	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Travel expenses to CARA-specific events will be reimbursed.	You will carry out your Student Ambassador position at your university. Travel expenses to CARA-specific events will be reimbursed.	Ryan Mundy	020 7021 0880	development.cara@isbu.ac.uk
