Work Type	Volunteering Opportunity: Ref	No. of Volunteers Required	Organisation: Organisation Name	Client Group	Title	Full Description	Organisation: Aims And Objectives	Experience Required	Minimum Age	Monday Morning	Monday Afternoon	Monday Evening	Tuesday Morning	Tuesday Afternoon	Tuesday Evening	Wednesday Morning	Wednesday Afternoon	Wednesday Evening	Thursday Morning	Thursday Afternoon	Thursday Evening	Friday Morning	Friday Afternoon	Friday Evening	Saturday Morning	Saturday Afternoon	Saturday Evening	Sunday Morning	Sunday Afternoon	Sunday Evening	Travel Expenses	Travel Details	Organisation Contact	Organisation: Phone	Organisation: Email
Care / Support worker	VO38349	1	Alzheimer Scotland (Dundee)	Elderly	Daycare Workers	"You will be there to watch, listen and work with staff members. You will be involved in a wide variety of activities such as: singing, dancing, playing games, dicussion groups, reminiscence, helping with crafts, baking, gardening, walking, trips, dining duties, toileting, talking, listening, laughing. You may also be asked to set the table, make cups of tea, wash dishes, tidy up or escort a client from their day care home. At times it may seem as though you are doing nothing, but simply holding someone's hand or sitting listening with one of the members will be one of your most valuable contributions. Training & expenses are given to all volunteers."	"Alzheimer Scotland - exists to help people with dementia, and their carers. We provide information, support and a network of services and carers groups around Scotland. Our aims are: To be a local voice for people with dementia and their carers; to increase public awareness about dementia; to provide information, advice and support to carers and people with dementia; and, to provide services for people with dementia."	"A listening ear and a positive attitude towards older people and people with dementia, good communication skills."	16	0	0	0	0	0	0	1	1	0	1	1	0	1	1	0	0	0	0	0	0	0	Public transport fares are reimbursed on a weekly or monthly basis.Drivers: Mileage rate 30p per mile - usually reimbursed by cheque on a monthly basis.	"At the Dementia Resource Centre, 9 Morgan Street, Dundee."	Mary Gibson	01382 210200	dundeeservices@alzscot.org
Care / Support worker	VO38351	50	Samaritans Dundee	Mental Health	Listening Volunteers	"Volunteers are required to do four duties per month, one of which will be an overnight duty. They listen to those who contact Samaritans, either on the telephone, by email or by visit. However, as volunteers run the branch, many take on extra work. Samaritans work is strictly voluntary."	"The primary objective of Samaritans is to be available at any time of the day or night to befriend those passing through personal crises, especially those in danger of taking their own lives. The intention is to alleviate misery, loneliness, despair and depression and promote emotional health by listening to those who feel they have no-one else who would understand and accept them. Samaritans offer confidential support by telephone, email and face-to-face appointments."	Ability to listen.	18	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	Travel expenses (Public transport or mileage at 35p per mile) paid upon submission of a claim form.	"The Samaritan Centre, 6 Old Glamis Road, Dundee."	Jo Ahern	01382 832555	dundee.samaritans@hotmail.co.uk
Befriending / Mentoring	VO38354	15	Deaf Action (Tayside)	Sensory Impairment	Befriender	"Many deaf people become lonely, isolated, cut off from friends, families and communities. They can develop health issues due to the problems they encounter because of their deafness and accompanying communication difficulties. They regularly face social exclusion, discrimination and poor understanding of their needs from service providers, employers and the community in general. Volunteer Befrienders will support the deaf person in building up their confidence and coping skills outside the home and widening their ability to travel. Befrienders work with the deaf people to support whichever goal that person may wish to achieve and support them with everyday activities that most of us take for granted such as shopping, attending hospital or doctor's appointments, art galleries, exhibitions, accessing local community activities or dealing with welfare benefits."	"Deaf Action is a registered charity. We provide a range of services to deaf people across Tayside including those people who use British Sign Language, are deafened, deafblind and people who are hard of hearing. Services include communications support, social work, specialist equipment, multi-media translation of English materials into British Sign Language, training in BSL, deaf awareness etc. Lipreading classes are available locally and we offer a Befriending Service in Dundee."	"We are looking for befrienders from all walks of life. No experience is required but you should be reliable, friendly and understanding, and have plenty of enthusiasm."	16	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	We pay 40p per mile and there is some help towards food and drink expenses.	"Befriending takes place across Dundee at locations convenient to the Befriender and the deaf person, as agreed by them both and the project co-ordinator."	Susan Gibson	01382 221124	soundsense@deafaction.org
Advice / Information giving	VO38363	2	SSAFA Forces Help (Dundee)	Anti poverty work	Caseworker	To investigate applicants who are ex service and their dependants seeking assistance financial and otherwise by obtaining help usually financial and can then access services through charities and branch funds. This includes visiting applicants ( all in Dundee) in their homes and investigating their situation. After assessment by case worker they can then obtain funding from service organisation and access grant assistance. Full practical support and national training given with payment of all expenses.	"To relieve the need, suffering and distress of members, former members and their dependants of all branches of the armed services. To raise public awareness of our existence and reach as many people as we can who may benefit from our help."	Caseworkers need to be keen and have an aptitude to help people. Computer literacy would be handy but not essential. Good communication skills.		0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	Travel claims along with any other expenses are paid on a monthly basis - 40p per mile.	"Clients are mainly seen in their homes, a car would be convenient, but not essential. Caseworkers are expected to attend the office once a week for one hour to attend to clients who may turn up there."	John MacNeil	01382 452808	dundee@ssafa.org.uk
Fundraising	VO38364	1	"Cruise Bereavement Care scotland, Highland and Moray region"	Health/Hospitals/Hospices	Funding-Finder	"Each year our trained Volunteers give thousands of hours of bereavement support/counselling service to the public. Charitable donations and contributions are essential to enable the service to continue and expand. The Funding-Finder would be asked to complete funding applications to Trust Funds and other Bodies, and to research existing funding channels and new sources of income. He/she would be responsible for reporting to the Regional Management Committee. Please note that disabled toilets and wheelchair access are available only in the Dundee office, not in Perth."	Cruse helps the bereaved understand their grief and cope with their loss through providing information and free confidential listening/counselling.	"Some experience in fundraising would be helpful, but is not essential. Good communication skills (talking with funders). Ability to make applications to various grant making bodies or trusts."		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Expenses incurred on Cruse Business are fully reimbursed.	Could be done from home or from our offices in Dundee (10 Constitution Road) or Perth.	Ashleigh Cormack	01738 444178	admin@crusescotland.org.uk
Befriending / Mentoring	VO38366	20	Home-Start Dundee	Families	Home-visiting Befriender	Home-Start Dundee provides support to families who have at least one child of pre-school age. The support is provided by the home-visiting befriender who will receive training and then be matched with a suitable family. They will usually visit for 1-3 hours per week. The befriender may provide emotional support to a parent adapting to change or provide practical assistance to a family who may be struggling with day-to-day issues affecting them. The befriender may just need to be a good listener or be able to sign-post the family to other support that is available to them. The befriender will be able to help families cope with the pressures they face and can make a real difference to a family as they move forward in life.	"The organisation aims to offer support, friendship and practical assistance to families; visit families who have at least one child under 5 years in their own homes, encourage parents to play with and understand their children and build the parents' self-confidence; and re-assure parents' that difficulties in bringing up children are not unusual."	The befriender should be a good listener with an interest in families and making a difference to other peoples lives.	17	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	Public transport rate or mileage allowance as appropriate.	"Home-Start is based at 30 Whitehall St, Dundee. Volunteers visit families in the family home."	Derek Hobbs	01382 202040	admin@homestart-dundee.org.uk
Youth Work	VO38367	1	Dundee Boys Brigade	Young People	Helper/Instructor	"Wide range of activities of indoor and outdoor activities suited to 3/4 age groups; Anchor Boys (Primary 2-3 age groups); Junior Section (Primary 4-6 age groups); Company Section/Seniors (Primary 7 to age 18 years); Different programmes for each section based on physical, educational, social and spiritual elements. A mixture of fun, achievement, badgework, etc. Having our own premises, the opportunities and challenges are limitless."	"A Voluntary uniformed organisation for boys, primary 2 age to 18 years. A wide-ranging programme of physical, social, educational and spiritual activities. Both indoor & outdoor based activities, including Pipe Band, camping, weekend activities' outings, competitions etc."	"Genuine interest in working with boys between the ages of Primary 2 to eighteen years old, age group will be to suit volunteer, enthusiasm is far more important than particular skills."		0	0	1	0	0	1	0	0	1	0	0	1	0	0	1	1	1	0	0	0	0		"Boys Brigade Company Headquarters, 9 Bright Street, Lochee, Dundee, DD2 3DE."	Gordon Findlay	01382 668948	findlay-family@tiscali.co.uk
Befriending / Mentoring	VO38369	10	Youth-Link Dundee	Young People	Befriender	"Youth-link was established in 1981 and offers a befriending service to young people aged 5-18 in Dundee, who it is thought will benefit from the support and friendship of a volunteer befriender. The volunteer befriender and the young person will enjoy outings and share interests together, it is also hoped that the young person will feel confident enough to discuss any problems or issues they may have. If you feel you have something to offer, have time on your hands, looking to change careers, put something back into society, or are just looking for a new challenge, then why not try volunteering with Youth-link (Dundee) IT'S FUN"	To offer support on a one-to-one or group setting to young people (5 - 18) who are experiencing difficulties with their lives.	"Sense of humour, ability to have fun, patience."	18	0	0	1	0	0	1	0	0	1	0	0	1	0	0	1	1	1	1	1	1	1	"Public transport & Car mileage costs paid, and any other out of pocket expenses incurred up to a set limit. Reimbursements paid weekly/fortnightly/monthly. Volunteers submit claim form accompanied by receipts."	Training & Support is at Youth-link's office. Befriending is throughout Dundee.	Linda Smith	01382 630063	admin@youthlinkdundee.org.uk
Committee Work	VO38380	5	Dundee Survival Group	Homeless / Housing	Committee Member	"Dundee Survival Group (DSG) is a voluntary organisation that provides temporary supported accommodation for single homeless people in Dundee and works towards improving the quality of life for clients whilst accommodated. DSG has grown thanks to the work of some very dedicated and committed volunteers. We are currently seeking new volunteers to work with us by becoming members of the DSG's Management Committee. We hold our meetings once a month on a Wednesday afternoon in our premises. If you are interested in becoming a member of our Management Committee, we will do our best to ensure that you get something positive from the experience in return for the massive contribution you'll make to DSG's services for vulnerable people. So if the above has got you itching to get involved and you would like to discuss it further, we can arrange to have an informal chat. Feel free to contact us by getting in touch with Irene Leighton."	To provide temporary supported accommodation for single homeless people. To work towards improving the quality of life for clients whilst accommodated.	"Communication, committee work, management, business, finance, research, policy making and interviewing skills."	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	"We reimburse every month by cheque, on production of receipts."	"DSG's Office, 100 Foundry Lane, Dundee."	Paula Cifci	01382 450303	irene.leighton@dundeesurvivalgroup.org
Committee Work	VO38386	5	Jean Drummond Centre	Learning Disabilities	Committee Member	You would need to attend 6 Board meetings a year and have an interest in the wellbeing of the service users who attend the Jean Drummond Centre. You will be prepared to undertake an enhanced disclosure check with CRBS and meet with existing senior Board members for interview prior to being selected onto the Board.	"To provide day care service for adults 40+, who have learning disabilities."	An interest in working with adults with learning disabilities.	18	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		"Jean Drummond Centre, Earl Street (off) Liff Road, Dundee, DD2 3DT"	Gillian Duffy	01382 622100	jdcentre@tiscali.co.uk
Practical /DIY	VO38387	8	Fibromyalgia Support Group (TAP)	Health/Hospitals/Hospices	Resource Assistant	"The (Tayside, Angus & Perthshire) Fibromyalgia group are looking for volunteers to help out at monthly meetings, where members receive information and support about Fibromyalgia. Able bodied resource assistants are needed to set up the tables and chairs for the venue, help with sound system and electrical equipment and assist those with restricted mobility to be involved and comfortable at meetings. Volunteers can also assist serving teas and coffees and chatting with the members. Volunteers benefit from meeting new people, being part of a group. Volunteers have reported feeling good, when they have been able to support and assist individuals with Fibromyalgia."	"To improve the quality of life for those suffering from Fibromyalgia (FMS), to promote its awareness. To support family/friends and carers, by providing information on research, treatments and services, to help create a health attitude."	Able bodied people with enthusiasm and reliability.	16	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	Volunteers receive public transport rates and are reimbursed on the day.	"Ninewells Hospital, Level 7, Main entrance, turn left at reception, (Frequent bus routes to Ninewells)."	Mary Stevenson		enquiries@tapfm.co.uk
Committee Work	VO38396	1	Parkinson's UK (Dundee)	Health/Hospitals/Hospices	Committee Member	Be a team member in the day to day running of the branch. Help in the organisation of social events and branch meetings. Take a constructive interest during committee and branch meetings.	"Parkinson's UK mission is the conquest of Parkinsons Disease and the alleviation of the distress it causes, through effective research, education, welfare and communication. The aims are to help people with Parkinson's Disease, their carers, family & friends, with the problems arising from this. To collect and share information on Parkinson's , to encourage and provide funds for research into Parkinson's. Our overall objective is to be one of the leading neurological charities in the UK - serving all people with Parkinson's."	Ability to work as part of a team.	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Will pay travelling expenses.		Muriel Brown	01382 522803	
Sports / Outdoor activities	VO38403	1	Camanachd Association (Highland)	Sport / Outdoor activities	Shinty Referee	"Shinty Referees are required to officiate at matches in St Andrews, Dundee, Perth, Aberdour and Edinburgh. Additional opportunities exist for matches in West Highlands and Argyll and Bute. The role of the referee requires a good level of fitness to a standard of that expected in a 'fun-run' or a bike-a-thon'. Training and support are on hand to initiate you onto the rules."	"To develop the sport of shinty, running competition programmes and training volunteers to run clubs and officiate at matches."	"Reasonable fitness. Some team sport experience in any sport is desirable, but not necessary. Should have a calm demeanour."	18	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	28p per mile and an after match meal for senior Saturday matches. All expenses will be paid.	Shinty pitches around Scotland. Usual travel arrangements are 100-150 miles.	Graham Cormack	01463 715931	astie.cameron@shinty.com
Care / Support worker	VO38416	6	Speakeasy Aphasia Self Help Group	Sensory Impairment	Group Meeting Supporter	"People with aphasia have difficulties with speaking, understanding, reading and writing. Most will have developed aphasia as a consequence of stroke or other brain injury. We are a friendly and caring group who need your assistance to help us support each other and to get the most we can from our group meetings. We are looking for volunteers who can talk and listen with group members, help group members communicate with each other, help members with practical things like taking coats off and getting drinks, make notes on a flip chart during meetings, find out things for the group such as looking up the internet, assist with any emergency situation that may arise during a meeting, and help members make their way to a taxi or car at the end of the meeting."	"People with aphasia supporting each other to find ways with living well with communication impairments affecting speech, understanding reading and writing."	"Good interpersonal skills, good listener, sociable with a strong interest in people and good at speaking and writing."	18	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	Reasonable public transport rates to attend meetings if required.	"Dundee Contemporary Arts Centre (DCA), Nethergate Dundee."	Laorag Hunter	01382 423149	susan.bennett@stroke.org.uk
Befriending / Mentoring	VO38417	10	Monifieth Befriending Scheme (Dundee)	Elderly	Befriender	"Volunteers receive a ""feel good factor"" and a sense of satisfaction helping others, opportunity to give something back to the community, to gain experience which may be useful if later seeking a career in caring. The service user gains contact with the outside community, befriender visits and spends quality time with user providing stimulation and conversation. The befriender may take the user out, where this might not otherwise be possible."	To bring friendship to socially isolated older people and bereaved people of any age living in Monifieth.	The main criteria is a caring person who is interested in others.	18	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Travel expenses reimbursed - bus fares or petrol currently 40p per mile.	"In the home of the older person or bereaved person in Monifieth or on outings within the local community, if the client is physically able to go out."	Lyndsey le Grice	01382 534000	monifieth@befriending.fsnet.co.uk
Tutoring / Supporting Learners	VO38420	1	Helm Training Limited	Young People	Catering Instructor	We need someone to teach basic food hygiene. To facilitate and instruct the students to prepare and serve a limited lunchtime menu within our training enviroment.	"Provision of employment and life skills training to disadvantaged young people and young parents. Promotion of healthy living lifestyle. Training and personal development courses for young people / parents. A range of social enterprise activities to support programme and generate incomes. Garden project selling plants, garage project carrying out car maintenance and valeting."	Basic Food Hygiene Certificate is essential. Should be responsible and reliable with good people skills and an interest in working with young people.	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	Travel and out of pocket expenses are paid on production of receipts.		James Melvin	01382 224464	helen.sykes@helmtraining.co.uk
Conservation / Gardening	VO38421	5	Dundee Conservation Volunteers	Environment	Conservation Volunteer	Volunteers with or without experience are needed on Sundays once a month to help in conservation projects across the area. All training is provided. Work is with other volunteers in a friendly atmosphere. Tasks can be strenuous but all work is at the individual's pace.	To undertake practical nature conservation work in the countryside around Dundee No experience required.	None although a reasonable level of fitness is recommended as work can be strenuous.	17	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0		Once a month on Sundays 9.30 to 5pm-ish. A Scottish Wildlife Trust minibus collects at Dundee's Seagate Bus Station at 9.30am. Dates are as the programme states (available on our website).	John Whyman	01382 434769	dundeeconservationvolunteers@hotmail.com
